time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
1/1/2015 00:00,1/1/2015 00:00,0,0,0,5.631
1/1/2015 01:00,1/1/2015 01:00,0,0,0,5.761
1/1/2015 02:00,1/1/2015 02:00,0,0,0,5.811
1/1/2015 03:00,1/1/2015 03:00,0,0,0,5.956
1/1/2015 04:00,1/1/2015 04:00,0,0,0,6.195
1/1/2015 05:00,1/1/2015 05:00,0,0,0,6.443
1/1/2015 06:00,1/1/2015 06:00,0,0,0,6.59
1/1/2015 07:00,1/1/2015 07:00,0,0,0,6.687
1/1/2015 08:00,1/1/2015 08:00,0,0,0.002,7.121
1/1/2015 09:00,1/1/2015 09:00,0.007,0.001,0.016,7.517
1/1/2015 10:00,1/1/2015 10:00,0.03,0.003,0.042,7.867
1/1/2015 11:00,1/1/2015 11:00,0.041,0.004,0.054,8.234
1/1/2015 12:00,1/1/2015 12:00,0.028,0.002,0.041,8.499
1/1/2015 13:00,1/1/2015 13:00,0.015,0.001,0.027,8.702
1/1/2015 14:00,1/1/2015 14:00,0.012,0.001,0.022,8.874
1/1/2015 15:00,1/1/2015 15:00,0.003,0.001,0.009,8.936
1/1/2015 16:00,1/1/2015 16:00,0,0,0,9.015
1/1/2015 17:00,1/1/2015 17:00,0,0,0,9.219
1/1/2015 18:00,1/1/2015 18:00,0,0,0,9.434
1/1/2015 19:00,1/1/2015 19:00,0,0,0,9.639
1/1/2015 20:00,1/1/2015 20:00,0,0,0,9.833
1/1/2015 21:00,1/1/2015 21:00,0,0,0,10.054
1/1/2015 22:00,1/1/2015 22:00,0,0,0,10.331
1/1/2015 23:00,1/1/2015 23:00,0,0,0,10.59
2/1/2015 00:00,2/1/2015 00:00,0,0,0,10.837
2/1/2015 01:00,2/1/2015 01:00,0,0,0,10.962
2/1/2015 02:00,2/1/2015 02:00,0,0,0,10.436
2/1/2015 03:00,2/1/2015 03:00,0,0,0,8.947
2/1/2015 04:00,2/1/2015 04:00,0,0,0,7.531
2/1/2015 05:00,2/1/2015 05:00,0,0,0,6.75
2/1/2015 06:00,2/1/2015 06:00,0,0,0,6.01
2/1/2015 07:00,2/1/2015 07:00,0,0,0,5.346
2/1/2015 08:00,2/1/2015 08:00,0.01,0.011,0.01,4.859
2/1/2015 09:00,2/1/2015 09:00,0.159,0.129,0.052,5.035
2/1/2015 10:00,2/1/2015 10:00,0.357,0.332,0.064,5.795
2/1/2015 11:00,2/1/2015 11:00,0.436,0.421,0.067,6.605
2/1/2015 12:00,2/1/2015 12:00,0.454,0.446,0.065,7.043
2/1/2015 13:00,2/1/2015 13:00,0.396,0.383,0.059,6.922
2/1/2015 14:00,2/1/2015 14:00,0.248,0.227,0.049,6.278
2/1/2015 15:00,2/1/2015 15:00,0.059,0.059,0.017,4.768
2/1/2015 16:00,2/1/2015 16:00,0,0,0,3.042
2/1/2015 17:00,2/1/2015 17:00,0,0,0,2.629
2/1/2015 18:00,2/1/2015 18:00,0,0,0,2.759
2/1/2015 19:00,2/1/2015 19:00,0,0,0,2.521
2/1/2015 20:00,2/1/2015 20:00,0,0,0,1.367
2/1/2015 21:00,2/1/2015 21:00,0,0,0,1.818
2/1/2015 22:00,2/1/2015 22:00,0,0,0,2.298
2/1/2015 23:00,2/1/2015 23:00,0,0,0,2.267
3/1/2015 00:00,3/1/2015 00:00,0,0,0,2.141
3/1/2015 01:00,3/1/2015 01:00,0,0,0,1.929
3/1/2015 02:00,3/1/2015 02:00,0,0,0,2.151
3/1/2015 03:00,3/1/2015 03:00,0,0,0,2.23
3/1/2015 04:00,3/1/2015 04:00,0,0,0,2.231
3/1/2015 05:00,3/1/2015 05:00,0,0,0,2.384
3/1/2015 06:00,3/1/2015 06:00,0,0,0,2.147
3/1/2015 07:00,3/1/2015 07:00,0,0,0,2.076
